Week,Unnamed: 2,Unnamed: 3,Impressions,Clicks,Opens,Leads,Segment,Season,CountryISO,CountryName,Region,SubRegion,Publication,AdType,Treatment,BuyingBasis,Cost,Year,Month,Num_Week
2017-01-02,,,3376.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,1
2017-01-09,,,4447.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,2
2017-01-16,,,5013.0,6,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,3
2017-01-23,,,4488.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,4
2017-01-30,,,3155.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,1,5
2017-02-06,,,2756.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,6
2017-02-13,,,2566.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,7
2017-02-20,,,2483.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,8
2017-02-27,,,3435.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Display,Banner,Month,105.99244292276055,2017,2,9
2016-09-19,,,0.0,0,0,6,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,9,38
2016-09-26,,,0.0,0,0,8,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,9,39
2016-10-03,,,0.0,0,0,9,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,10,40
2016-10-10,,,0.0,0,0,9,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,10,41
2016-10-17,,,0.0,0,0,11,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,10,42
2016-10-24,,,0.0,0,0,9,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,10,43
2016-10-31,,,0.0,0,0,8,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,10,44
2016-11-07,,,0.0,0,0,1,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,11,45
2016-11-14,,,0.0,0,0,2,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,11,46
2016-11-21,,,0.0,0,0,5,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,11,47
2016-11-28,,,0.0,0,0,2,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,11,48
2016-12-05,,,0.0,0,0,3,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,12,49
2016-12-12,,,0.0,0,0,2,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,12,50
2016-12-19,,,0.0,0,0,3,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2016,12,51
2017-01-02,,,0.0,0,0,1,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2017,1,1
2017-01-09,,,0.0,0,0,4,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2017,1,2
2017-01-16,,,0.0,0,0,4,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FM World,Content syndication,Content syndication,Month,266.54493023526993,2017,1,3
2016-08-08,,,1132.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,8,32
2016-08-15,,,1705.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,8,33
2016-08-22,,,1740.0,5,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,8,34
2016-08-29,,,1051.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,8,35
2016-09-05,,,980.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,9,36
2016-09-12,,,708.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,9,37
2016-09-19,,,529.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,9,38
2016-09-26,,,548.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,9,39
2016-10-03,,,306.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,10,40
2016-10-10,,,337.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,10,41
2016-10-17,,,237.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,10,42
2016-10-31,,,409.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,10,44
2016-11-07,,,575.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,11,45
2016-11-14,,,533.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,11,46
2016-11-21,,,467.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,11,47
2016-11-28,,,542.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,11,48
2016-12-05,,,747.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,12,49
2016-12-12,,,788.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,12,50
2016-12-19,,,732.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,12,51
2016-12-26,,,301.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,12,52
2017-01-02,,,887.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2017,1,1
2017-01-09,,,987.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2017,1,2
2017-01-16,,,1194.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2017,1,3
2017-01-23,,,950.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2017,1,4
2017-01-30,,,331.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2017,1,5
2016-08-08,,,1175.0,7,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,8,32
2016-08-15,,,1631.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,8,33
2016-08-22,,,1839.0,5,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,8,34
2016-08-29,,,1113.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,8,35
2016-09-05,,,995.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,9,36
2016-09-12,,,740.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,9,37
2016-09-19,,,495.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,9,38
2016-09-26,,,536.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,9,39
2016-10-03,,,279.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,10,40
2016-10-10,,,333.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,10,41
2016-10-17,,,257.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,10,42
2016-10-31,,,431.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,10,44
2016-11-07,,,557.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,11,45
2016-11-14,,,544.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,11,46
2016-11-21,,,498.0,6,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,11,47
2016-11-28,,,526.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,11,48
2016-12-05,,,833.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,12,49
2016-12-12,,,790.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,12,50
2016-12-19,,,766.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,12,51
2016-12-26,,,322.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2016,12,52
2017-01-02,,,885.0,1,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2017,1,1
2017-01-09,,,1050.0,2,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2017,1,2
2017-01-16,,,1196.0,3,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2017,1,3
2017-01-23,,,1025.0,4,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2017,1,4
2017-01-30,,,317.0,0,0,0,Commercial,Evacuation,GB,United Kingdom,Northern Europe,UK & I,FMJ,Display,Banner,Month,97.99957017776549,2017,1,5
